Column1,Column2
1.03E-03,1.26E-02
5.86E-02,1.75E-01
-3.23E-01,3.13E-01
-1.83E-01,-2.13E-01
2.48E-01,-1.40E-01
-8.71E-02,1.17E-02
2.63E-01,1.83E-02
-3.09E-03,-1.15E-01
1.72E-02,-1.26E-02
8.35E-03,-5.05E-02
